,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
100088,24.972666666666736,5.520000000000018,736.076841340944,130,4299.823433780354,14.75949352094271,catalog,23,250.0,29,0,True,radio,0,102761
0,25.49733333333341,5.3720000000000185,455.8422760107906,70,3810.1243102870462,13.08178715973073,catalog,190,250.0,1,1,False,radio,0,1
1,27.03266666666676,6.232666666666688,382.489744702976,59,2226.6679356446066,7.633442514416334,catalog,1314,250.0,1,2,False,radio,0,2
2,26.54000000000008,5.744666666666686,368.2018031950331,49,2697.3101462511268,9.2551570412457,catalog,784,250.0,1,3,False,radio,0,3
3,26.930666666666745,6.750000000000023,345.10651037445973,45,2076.85709125274,7.112549590020516,catalog,456,250.0,1,4,False,radio,0,4
4,25.69133333333341,6.606000000000022,315.34858629731804,37,1819.0837164838472,6.231592639715757,catalog,1606,250.0,1,5,False,radio,0,5
5,26.22466666666676,5.320000000000018,275.24756107143577,13,1820.055818888629,6.249556571184141,catalog,138,250.0,1,6,False,radio,0,6
6,26.295333333333414,6.200000000000021,250.1949888919553,1,1585.1457855341691,5.434519653035625,catalog,2677,250.0,1,7,False,radio,0,7
7,24.953333333333426,5.197333333333351,231.91356966643943,100,1469.968519063832,5.048453373714842,catalog,2796,100.0,2,8,False,radio,0,8
8,27.01933333333341,5.510666666666685,201.39630631858543,89,1065.7560937401472,3.6583514673616553,catalog,7906,100.0,2,9,False,radio,0,9
9,26.309333333333427,6.584000000000022,200.05693608799027,89,1093.7223823317415,3.746906522503779,catalog,4244,100.0,2,10,False,radio,0,10
10,26.515333333333427,5.304666666666685,198.9792243824033,89,1108.874191872083,3.8076546581238233,catalog,2503,100.0,2,11,False,radio,0,11
11,25.035333333333416,5.310000000000018,185.1232603768944,78,1176.4401967764154,4.039628078679136,catalog,3916,100.0,2,12,False,radio,0,12
12,25.07333333333342,5.397333333333352,184.33916561486907,75,1129.5197427083665,3.877962725504648,catalog,3745,100.0,2,13,False,radio,0,13
101149,26.342000000000088,6.311333333333355,168.8841326310026,67,599.8477157755312,2.056080784405012,catalog,58125,100.0,57,14,True,radio,0,103836
100089,26.18400000000009,6.839333333333356,162.1119059763899,65,546.8199556484366,1.872329649301644,catalog,7864,100.0,30,15,True,radio,0,102763
13,25.57400000000008,5.124666666666684,153.159826274982,59,831.6465284444997,2.85652856169852,catalog,5092,100.0,2,16,False,radio,0,14
101109,25.970666666666755,6.246000000000021,145.6037242167635,49,527.8262209891483,1.8094425143403048,catalog,10606,100.0,43,17,True,radio,0,103795
14,25.336666666666755,5.219333333333351,140.45452678643295,45,764.3889212716042,2.625122976175848,catalog,6832,100.0,2,18,False,radio,0,15
15,26.25266666666676,6.611333333333356,134.4776635807024,37,736.0557928195761,2.521461864381761,catalog,6043,100.0,2,19,False,radio,0,16
16,25.97266666666675,5.410666666666685,127.05949723890824,35,639.6168701081867,2.195937845619873,catalog,8217,100.0,2,20,False,radio,0,18
17,25.448000000000075,6.597333333333356,125.12917420091432,30,607.3685284187145,2.0806847909593515,catalog,264,100.0,2,21,False,radio,0,19
100090,26.986666666666757,6.863333333333356,105.70613400008332,7,355.4057120799379,1.2168601538375028,catalog,3461,100.0,30,22,True,cib,0,102765
100091,26.96600000000009,5.811333333333353,104.45942194612176,7,393.31408279818766,1.3494011701050048,catalog,25532,100.0,30,23,True,radio,0,102766
100092,26.067333333333423,5.813333333333353,102.4281586264302,5,366.73724387643136,1.2582155919290208,catalog,2779,100.0,30,24,True,cib,0,102767
100093,26.27866666666677,5.431333333333352,100.70596966276952,1,370.1342683124987,1.2707041281217264,catalog,65049,100.0,30,25,True,radio,0,102768
100094,25.440000000000097,6.544666666666688,99.96917971839326,89,348.5181275568006,1.194058718220994,catalog,18383,50.0,31,26,True,radio,0,102769
100095,26.66466666666675,5.77000000000002,97.84430327396925,89,356.79385761989903,1.2241954875442356,catalog,27748,50.0,31,27,True,radio,0,102770
100096,26.98400000000009,5.827333333333353,94.14377171238192,81,350.89961340088684,1.2038493909138774,catalog,4086,50.0,31,28,True,radio,0,102771
