,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
101564,26.11266666666674,6.356000000000021,311.25816735761333,5,14459.0632740931,10.162212973202475,map,250.0,130,0,True,unknown,0,102678
100784,25.42800000000008,5.106666666666684,274.9911507314701,1,12401.88325432104,8.735465072742445,map,250.0,84,1,True,unknown,0,101635
0,25.012000000000093,6.248666666666688,262.62737309378906,1,23569.8591457748,16.56894785621779,map,250.0,1,2,False,unknown,0,0
100785,26.500666666666746,5.199333333333351,243.9427876836289,21,10611.603379591012,7.473366988456699,map,100.0,85,3,True,unknown,0,101636
100786,26.063333333333407,5.174666666666684,220.75954975495043,21,9730.414661839157,6.853042783832038,map,100.0,85,4,True,unknown,0,101637
101488,26.728000000000097,5.016666666666684,210.5413077181425,21,8909.53311572663,6.276447212409417,map,100.0,118,5,True,unknown,0,102559
1,26.89200000000008,5.512000000000018,207.117945137554,21,22025.16022631655,15.50358226745734,map,100.0,2,6,False,unknown,0,1
2,25.420666666666737,6.574666666666689,203.2213804159296,21,18786.878707358017,13.198207791404942,map,100.0,2,7,False,unknown,0,2
101367,26.05933333333342,6.437333333333355,202.6561576781816,21,9321.831663246114,6.550585582351491,map,100.0,104,8,True,unknown,0,102365
3,25.50000000000009,5.88800000000002,167.33628881564923,9,15641.942704117131,11.003212116075998,map,100.0,2,9,False,unknown,0,3
4,26.15466666666676,5.404000000000019,163.7790871585002,9,17857.975750933336,12.57255499463894,map,100.0,2,10,False,unknown,0,4
5,26.83066666666675,6.9366666666666905,158.50391165622136,9,15945.020185936755,11.19335333341304,map,100.0,2,11,False,unknown,0,5
100787,25.71266666666674,6.621333333333356,156.85392750415747,9,6608.698739293781,4.642320885443907,map,100.0,85,12,True,unknown,0,101640
101368,25.245333333333427,5.752000000000019,151.5223362947627,9,6345.101128163771,4.464493097746974,map,100.0,104,13,True,unknown,0,102368
6,26.633333333333425,5.290666666666684,150.96187946833328,9,17190.325908497158,12.10474308619245,map,100.0,2,14,False,unknown,0,6
101620,25.965333333333408,6.913333333333358,150.9488889301076,9,6100.963092951558,4.28306973851865,map,100.0,142,15,True,unknown,0,102761
7,25.62866666666676,5.666666666666686,142.5717606595369,9,14170.990264943564,9.972370264822246,map,100.0,2,16,False,unknown,0,7
8,25.72466666666676,6.978666666666691,141.1468590512536,9,14005.331694233972,9.8308176827607,map,100.0,2,17,False,unknown,0,8
9,26.70400000000009,5.286666666666685,140.1474628705575,9,16039.926144874817,11.294750513126562,map,100.0,2,18,False,unknown,0,9
10,25.88400000000009,5.291333333333352,139.93149397891236,9,15284.61152868634,10.762803290281695,map,100.0,2,19,False,unknown,0,10
11,26.33866666666676,6.86066666666669,139.30950297843123,9,13448.56399185306,9.442368309089652,map,100.0,2,20,False,unknown,0,11
100788,25.70466666666676,6.250666666666688,138.18878796634044,9,6033.864377775401,4.2416205558164535,map,100.0,85,21,True,unknown,0,101645
12,26.579333333333413,6.100000000000021,137.68545789933015,9,15588.999403036976,10.961701841103118,map,100.0,2,22,False,unknown,0,12
13,24.972666666666736,5.520000000000018,135.9457353472064,9,14492.657248470638,10.201292492668314,map,100.0,2,23,False,unknown,0,13
14,25.015333333333416,5.334000000000018,135.87527345461777,9,15818.144993291227,11.137726548183284,map,100.0,2,24,False,unknown,0,14
15,25.09733333333341,5.375333333333352,135.6315258744372,9,15498.49638751638,10.911928270909854,map,100.0,2,25,False,unknown,0,15
16,25.072000000000088,5.362666666666685,133.8393409619047,9,15313.25903548176,10.781730481056632,map,100.0,2,26,False,unknown,0,16
17,25.53266666666676,6.300666666666688,132.66224219731063,9,12800.204678137796,8.997282357915998,map,100.0,2,27,False,unknown,0,18
100789,25.147333333333403,5.895333333333353,130.4838689973126,7,5557.374624267951,3.909242937773671,map,100.0,85,28,True,unknown,0,101649
18,25.529333333333422,5.522000000000019,130.43239350335392,6,13494.701906640492,9.498806121172944,map,100.0,2,29,False,unknown,0,19
101621,25.086666666666744,5.817333333333353,130.4317922068674,7,5386.803760953423,3.789784081253793,map,100.0,142,30,True,unknown,0,102764
19,26.588666666666747,5.428666666666685,129.94064543520253,6,14555.951740863598,10.247408099030752,map,100.0,2,31,False,unknown,0,20
101622,25.327333333333417,5.8253333333333535,129.48241625714255,8,5217.288370467159,3.670472675097636,map,100.0,142,32,True,unknown,0,102765
100790,26.475333333333428,5.971333333333353,127.90896820738024,5,5866.302496271646,4.125981173593321,map,100.0,85,33,True,unknown,0,101650
101489,26.71600000000008,6.632666666666689,127.16915715304854,5,5209.32776920837,3.6592400099575713,map,100.0,118,34,True,unknown,0,102566
101623,25.22333333333341,6.4340000000000215,125.92835966539438,6,4813.68038011018,3.382664943192676,map,100.0,142,35,True,unknown,0,102766
20,26.391333333333417,5.471333333333352,125.63276801777872,5,13392.77226415142,9.42785649772694,map,100.0,2,36,False,unknown,0,21
101647,25.502000000000088,5.521333333333352,124.1157223869984,5,5083.082700194647,3.577942750554833,map,100.0,162,37,True,unknown,0,102835
101648,26.308666666666763,6.160666666666687,123.6356355331278,5,5818.994201401058,4.091271122697209,map,100.0,162,38,True,unknown,0,102836
21,25.315333333333424,6.292000000000021,121.80127135449838,5,11028.86126666243,7.752331964467313,map,100.0,2,39,False,unknown,0,22
22,25.87000000000007,6.014000000000021,119.47830946368754,5,14051.494312737985,9.88215134671952,map,100.0,2,40,False,unknown,0,23
101490,26.722666666666758,5.250666666666684,119.3850963431571,5,5057.962208139503,3.561846239498172,map,100.0,118,41,True,unknown,0,102569
23,25.45400000000009,6.826000000000023,119.33737919585326,5,11612.650458302494,8.153943728574106,map,100.0,2,42,False,unknown,0,24
101565,26.324000000000083,5.258666666666684,117.89251543087111,5,5033.2417204602125,3.544392028324097,map,100.0,131,43,True,unknown,0,102687
101566,25.21800000000009,5.907333333333353,117.75426906369714,5,4769.979089830294,3.3552891878432964,map,100.0,131,44,True,unknown,0,102688
24,25.68200000000008,5.760000000000019,116.93903837977692,5,11983.38144337164,8.431538605991618,map,100.0,2,45,False,unknown,0,25
25,26.38333333333341,5.220666666666684,116.4673753161064,5,13101.050950100229,9.226283881146747,map,100.0,2,46,False,unknown,0,26
100791,26.89200000000008,5.632000000000019,116.02425429190444,4,4957.672096381296,3.4890075659602893,map,100.0,85,47,True,unknown,0,101657
26,25.27200000000008,6.854000000000023,114.9507325366054,4,11589.425185614404,8.137161676965396,map,100.0,2,48,False,unknown,0,27
27,25.708000000000084,5.788666666666687,113.19574820631746,1,11751.225570323655,8.267772996501904,map,100.0,2,49,False,unknown,0,28
28,25.572000000000084,6.608000000000023,112.15749217276353,1,10582.639133365588,7.43404079227053,map,100.0,2,50,False,unknown,0,29
29,26.58733333333341,5.95800000000002,111.66052285638608,1,12707.626198154598,8.937947124599187,map,100.0,2,51,False,unknown,0,30
30,26.076000000000093,5.504000000000018,111.3194787631724,1,12245.852071034618,8.620010473691275,map,100.0,2,52,False,unknown,0,31
31,25.75466666666676,6.860000000000023,110.98207464724749,1,10860.268060494633,7.625111006543926,map,100.0,2,53,False,unknown,0,33
101567,26.358000000000096,6.01200000000002,110.6903208316721,1,5041.373641854827,3.545516083036344,map,100.0,131,54,True,unknown,0,102689
32,25.65800000000009,5.89200000000002,110.19610267492573,1,10691.521020207894,7.520818717540568,map,100.0,2,55,False,unknown,0,34
33,26.01200000000008,5.687333333333353,109.91161339676054,1,12165.405886181748,8.56070138257647,map,100.0,2,56,False,unknown,0,35
34,26.11733333333342,5.538000000000019,109.58691424495336,1,12154.260309357816,8.55505202592892,map,100.0,2,57,False,unknown,0,36
35,25.091333333333424,6.814000000000023,109.48344937028354,1,10010.19957991775,7.028941648253682,map,100.0,2,58,False,unknown,0,37
101568,25.47200000000009,5.346000000000018,108.89503812648452,1,4625.762584763257,3.2569860650979816,map,100.0,131,59,True,unknown,0,102690
36,25.76266666666673,5.273333333333351,107.74512915413143,1,12035.47848770874,8.475142586298048,map,100.0,2,60,False,unknown,0,38
101643,25.73600000000009,6.304666666666688,107.69990024761374,1,4585.950167703798,3.223446155054304,map,100.0,156,61,True,unknown,0,102823
37,25.67400000000007,6.4500000000000215,107.6653595113992,1,10922.05458093941,7.6748930139406895,map,100.0,2,62,False,unknown,0,39
100792,25.364000000000093,7.049333333333358,107.14412623894198,1,4308.404639969799,3.0237597084740315,map,100.0,85,63,True,unknown,0,101664
38,26.75000000000009,5.616666666666686,105.66772166547022,1,11863.237215009334,8.349083208511532,map,100.0,2,64,False,unknown,0,40
101569,25.65800000000009,6.512000000000022,104.36871247767333,1,4206.587725826616,2.9555933086500583,map,100.0,131,65,True,unknown,0,102691
39,26.474000000000075,6.728000000000023,104.35569914172537,1,10132.042069137522,7.115770035822175,map,100.0,2,66,False,unknown,0,41
40,25.76933333333341,5.844666666666686,104.29800817360788,1,10912.80778559294,7.677127868352299,map,100.0,2,67,False,unknown,0,42
101491,26.64800000000008,5.724666666666686,103.95561208271346,1,4544.533404067,3.197745876077705,map,100.0,118,68,True,unknown,0,102571
41,26.78733333333343,6.217333333333355,103.93246479086696,1,11902.423967998477,8.36757425155715,map,100.0,2,69,False,unknown,0,43
