# ells, tt
1.015000000000000000e+02 8.042443727089720884e-01
3.015000000000000000e+02 -1.942194577368218100e-01
5.015000000000000000e+02 1.347714044387387511e-01
7.015000000000000000e+02 1.234149744734381882e-01
9.015000000000000000e+02 3.712055146403159256e-04
1.101500000000000000e+03 8.883171061215894282e-02
1.301500000000000000e+03 3.941957515332161766e-02
1.501500000000000000e+03 6.927675526718972410e-02
1.701500000000000000e+03 9.498235503977210670e-02
1.901500000000000000e+03 4.736894460558205289e-02
2.101500000000000000e+03 6.200443616719440720e-02
2.301500000000000000e+03 1.645844350818260748e-01
2.501500000000000000e+03 1.715189614475224056e-01
2.701500000000000000e+03 1.904682901678054208e-01
2.901500000000000000e+03 2.238739951225269253e-01
3.101500000000000000e+03 2.395397717265834725e-01
3.301500000000000000e+03 2.081722127435545744e-01
3.501500000000000000e+03 2.451170632408850025e-01
3.701500000000000000e+03 2.962773331793275844e-01
3.901500000000000000e+03 3.021446743396879464e-01
4.101500000000000000e+03 3.769796220806314047e-01
4.301500000000000000e+03 4.567123115833656155e-01
4.501500000000000000e+03 3.966357846922813346e-01
4.701500000000000000e+03 3.800093824508526952e-01
4.901500000000000000e+03 5.225786051974516955e-01
5.101500000000000000e+03 5.127545657396463952e-01
5.301500000000000000e+03 5.109901412973465451e-01
5.501500000000000000e+03 4.695221365361974541e-01
5.701500000000000000e+03 5.162449654071799010e-01
5.901500000000000000e+03 5.195129400759354033e-01
6.101500000000000000e+03 7.157217004277074412e-01
6.301500000000000000e+03 7.136452956596751607e-01
6.501500000000000000e+03 6.077120433610856409e-01
6.701500000000000000e+03 7.109923696667521664e-01
6.901500000000000000e+03 6.784109464347953811e-01
7.101500000000000000e+03 8.456403811085271283e-01
7.301500000000000000e+03 1.009661129793737899e+00
7.501500000000000000e+03 9.442200441446939596e-01
7.701500000000000000e+03 9.179669040807205693e-01
7.901500000000000000e+03 9.899279477608327049e-01
8.101500000000000000e+03 1.012161548162626046e+00
8.301500000000000000e+03 1.304493391028148430e+00
8.501500000000000000e+03 9.553666181487205922e-01
8.701500000000000000e+03 1.301890461975510949e+00
8.901500000000000000e+03 1.072408235210989158e+00
9.101500000000000000e+03 1.395064918138888999e+00
9.301500000000000000e+03 1.236971770265927084e+00
9.501500000000000000e+03 1.321865687961542468e+00
9.701500000000000000e+03 1.662745152844042895e+00
9.901500000000000000e+03 1.489229016242385573e+00
1.010150000000000000e+04 1.524207890671865684e+00
1.030150000000000000e+04 1.727903841218298986e+00
1.050150000000000000e+04 1.935954828853041487e+00
1.070150000000000000e+04 1.636081683792253383e+00
1.090150000000000000e+04 1.910850377853251070e+00
1.110150000000000000e+04 1.988082454186488324e+00
1.130150000000000000e+04 1.534999596743101158e+00
1.150150000000000000e+04 1.981454630951577478e+00
1.170150000000000000e+04 2.597680039271345276e+00
1.190150000000000000e+04 2.181278855464301891e+00
1.210150000000000000e+04 2.381409184284126290e+00
1.230150000000000000e+04 2.955071526098776324e+00
1.250150000000000000e+04 2.556540170313592153e+00
1.270150000000000000e+04 3.124127812848195074e+00
1.290150000000000000e+04 2.459557658142242254e+00
1.310150000000000000e+04 2.847013478962252098e+00
1.330150000000000000e+04 2.532344125023657355e+00
1.350150000000000000e+04 2.534987318838881620e+00
1.370150000000000000e+04 2.544475906964740908e+00
1.390150000000000000e+04 2.899727532426959353e+00
1.410150000000000000e+04 3.207481159492935774e+00
1.430150000000000000e+04 3.173830350183233229e+00
1.450150000000000000e+04 3.327603652408520851e+00
1.470150000000000000e+04 2.865705165777451047e+00
1.490150000000000000e+04 3.155912257898443318e+00
1.510150000000000000e+04 3.624658731756634111e+00
1.530150000000000000e+04 3.635481591194670070e+00
1.550150000000000000e+04 3.351465900718899160e+00
1.570150000000000000e+04 3.681371045062753478e+00
1.590150000000000000e+04 3.476727540865351074e+00
1.610150000000000000e+04 3.673425221489155401e+00
1.630150000000000000e+04 4.056486182396138673e+00
1.650150000000000000e+04 4.067090711819932203e+00
1.670150000000000000e+04 4.254950593047537311e+00
1.690150000000000000e+04 3.665611187810557503e+00
1.710150000000000000e+04 3.743755227973766253e+00
1.730150000000000000e+04 4.024825676509390604e+00
1.750150000000000000e+04 4.732924005994529892e+00
1.770150000000000000e+04 4.200123990809803587e+00
1.790150000000000000e+04 4.773168154338908842e+00
1.810150000000000000e+04 4.983673164194215133e+00
1.830150000000000000e+04 4.828708123813687081e+00
1.850150000000000000e+04 5.226068319605143841e+00
1.870150000000000000e+04 4.058168152178563304e+00
1.890150000000000000e+04 5.146995199096768836e+00
1.910150000000000000e+04 5.200468029445612039e+00
1.930150000000000000e+04 5.455970986380566323e+00
1.950150000000000000e+04 4.964008102114076060e+00
1.970150000000000000e+04 4.611275446261100086e+00
1.990150000000000000e+04 5.183164185437975746e+00
2.010150000000000000e+04 5.103439603840921102e+00
2.030150000000000000e+04 5.286089876698815360e+00
2.050150000000000000e+04 5.418454356230363089e+00
2.070150000000000000e+04 7.574404534103969411e+00
