# ells, tt
1.015000000000000000e+02 1.078254626299547381e+00
3.015000000000000000e+02 4.254203098291489127e-01
5.015000000000000000e+02 1.361735870657245551e+00
7.015000000000000000e+02 4.155987600320623088e-01
9.015000000000000000e+02 1.339530545179479670e+00
1.101500000000000000e+03 7.640997047827042810e-01
1.301500000000000000e+03 2.638108158576545126e+00
1.501500000000000000e+03 1.286069667408517470e+00
1.701500000000000000e+03 1.774672374214015580e+00
1.901500000000000000e+03 1.875360478722254864e+00
2.101500000000000000e+03 1.916085479123267765e+00
2.301500000000000000e+03 1.983672775222204310e+00
2.501500000000000000e+03 2.139989965136703365e+00
2.701500000000000000e+03 2.085553561016308510e+00
2.901500000000000000e+03 1.771377378162377836e+00
3.101500000000000000e+03 2.106793746237928477e+00
3.301500000000000000e+03 1.537886703645255038e+00
3.501500000000000000e+03 2.929654378059608710e+00
3.701500000000000000e+03 2.250514138486707783e+00
3.901500000000000000e+03 2.418232108052633222e+00
4.101500000000000000e+03 2.509037507216490326e+00
4.301500000000000000e+03 1.679977929175394902e+00
4.501500000000000000e+03 2.371024440893608087e+00
4.701500000000000000e+03 2.277802487898198613e+00
4.901500000000000000e+03 1.880538753947627706e+00
5.101500000000000000e+03 2.450319981214714282e+00
5.301500000000000000e+03 1.874066480538746804e+00
5.501500000000000000e+03 2.127738700642543890e+00
5.701500000000000000e+03 2.346937995709805325e+00
5.901500000000000000e+03 2.105551856884003925e+00
6.101500000000000000e+03 2.485578608517090338e+00
6.301500000000000000e+03 2.193371287119635582e+00
6.501500000000000000e+03 2.134902573674183124e+00
6.701500000000000000e+03 2.701390582110359428e+00
6.901500000000000000e+03 2.325152736043197166e+00
7.101500000000000000e+03 2.588386409639528818e+00
7.301500000000000000e+03 2.468023617763068778e+00
7.501500000000000000e+03 2.123266634543886866e+00
7.701500000000000000e+03 2.696602545758717717e+00
7.901500000000000000e+03 2.928955587673252481e+00
8.101500000000000000e+03 2.435063783599034082e+00
8.301500000000000000e+03 2.785131961001330758e+00
8.501500000000000000e+03 3.189782815451876807e+00
8.701500000000000000e+03 2.834122362306757736e+00
8.901500000000000000e+03 3.128923519569538847e+00
9.101500000000000000e+03 3.299060205888370234e+00
9.301500000000000000e+03 3.125548378954073225e+00
9.501500000000000000e+03 3.536233838823592102e+00
9.701500000000000000e+03 3.505729921909604307e+00
9.901500000000000000e+03 3.073550789492974999e+00
1.010150000000000000e+04 3.882443328797176463e+00
1.030150000000000000e+04 3.611146177520634382e+00
1.050150000000000000e+04 4.240887763565292623e+00
1.070150000000000000e+04 3.892641626031760893e+00
1.090150000000000000e+04 3.645465406007361686e+00
1.110150000000000000e+04 4.101224156071801019e+00
1.130150000000000000e+04 4.444577434870909727e+00
1.150150000000000000e+04 4.888555661477700376e+00
1.170150000000000000e+04 3.966739971895345107e+00
1.190150000000000000e+04 5.207797362094803262e+00
1.210150000000000000e+04 4.672406839627392117e+00
1.230150000000000000e+04 4.547869839676582870e+00
1.250150000000000000e+04 4.476726783650886610e+00
1.270150000000000000e+04 5.402925660207148262e+00
1.290150000000000000e+04 5.648921848692975090e+00
1.310150000000000000e+04 5.726176171120759051e+00
1.330150000000000000e+04 4.816934262459025007e+00
1.350150000000000000e+04 5.394291305392488134e+00
1.370150000000000000e+04 4.923785474723461952e+00
1.390150000000000000e+04 5.662184998740241504e+00
1.410150000000000000e+04 5.086174352124629650e+00
1.430150000000000000e+04 5.883872559211697606e+00
1.450150000000000000e+04 5.806028199124677158e+00
1.470150000000000000e+04 6.761258163461516091e+00
1.490150000000000000e+04 5.774768046802231325e+00
1.510150000000000000e+04 6.755037093396984105e+00
1.530150000000000000e+04 5.561554809630710139e+00
1.550150000000000000e+04 6.868949775910076383e+00
1.570150000000000000e+04 6.454110880749557744e+00
1.590150000000000000e+04 7.307384778476859744e+00
1.610150000000000000e+04 7.329398569795282370e+00
1.630150000000000000e+04 8.183547197098006265e+00
1.650150000000000000e+04 7.340015623835567382e+00
1.670150000000000000e+04 8.246148014903539547e+00
1.690150000000000000e+04 7.528654303474473508e+00
1.710150000000000000e+04 8.282878073515391293e+00
1.730150000000000000e+04 9.127263886941436866e+00
1.750150000000000000e+04 8.079713752561549001e+00
1.770150000000000000e+04 9.008018592655966827e+00
1.790150000000000000e+04 8.266476852709805812e+00
1.810150000000000000e+04 9.167355531634592936e+00
1.830150000000000000e+04 1.007450296725414773e+01
1.850150000000000000e+04 9.301674230196084636e+00
1.870150000000000000e+04 9.633757996920103039e+00
1.890150000000000000e+04 1.074784848506669732e+01
1.910150000000000000e+04 1.185746850987484535e+01
1.930150000000000000e+04 1.044089698734835281e+01
1.950150000000000000e+04 1.274557866954870633e+01
1.970150000000000000e+04 1.205212467166451518e+01
1.990150000000000000e+04 1.240039476291549647e+01
2.010150000000000000e+04 1.433551902642071951e+01
2.030150000000000000e+04 1.280020307906603350e+01
2.050150000000000000e+04 1.263684578037081607e+01
2.070150000000000000e+04 1.822058695513600668e+01
