# ells, tt
1.015000000000000000e+02 1.478543379328123519e+00
3.015000000000000000e+02 -2.797081433800769901e-01
5.015000000000000000e+02 8.221280976551262887e-01
7.015000000000000000e+02 1.052455916406539460e-01
9.015000000000000000e+02 2.978262153567167170e-01
1.101500000000000000e+03 2.328329426963979820e-01
1.301500000000000000e+03 3.662062936457030071e-01
1.501500000000000000e+03 3.999482570781177637e-01
1.701500000000000000e+03 2.716537991788325890e-01
1.901500000000000000e+03 3.520579926978314456e-01
2.101500000000000000e+03 3.890963920178855950e-01
2.301500000000000000e+03 5.105758918526337453e-01
2.501500000000000000e+03 4.147311333242453268e-01
2.701500000000000000e+03 3.345311938237655047e-01
2.901500000000000000e+03 3.931350196312007883e-01
3.101500000000000000e+03 3.139256240297714218e-01
3.301500000000000000e+03 5.471595335414396466e-01
3.501500000000000000e+03 6.887414379854859270e-01
3.701500000000000000e+03 5.174662403470813299e-01
3.901500000000000000e+03 6.329921487892961052e-01
4.101500000000000000e+03 5.113055514452001793e-01
4.301500000000000000e+03 4.476707365474577593e-01
4.501500000000000000e+03 5.318656193414232902e-01
4.701500000000000000e+03 6.956496282352251370e-01
4.901500000000000000e+03 5.025713030778253820e-01
5.101500000000000000e+03 5.550562511986324443e-01
5.301500000000000000e+03 4.831223678827539780e-01
5.501500000000000000e+03 5.437746213524614625e-01
5.701500000000000000e+03 5.056466859028500016e-01
5.901500000000000000e+03 7.220249005712955359e-01
6.101500000000000000e+03 6.517056841576254200e-01
6.301500000000000000e+03 6.874425380401867347e-01
6.501500000000000000e+03 5.685175549505210313e-01
6.701500000000000000e+03 5.827575148088832702e-01
6.901500000000000000e+03 7.747518573900236127e-01
7.101500000000000000e+03 7.572377426317035143e-01
7.301500000000000000e+03 6.441459494036927413e-01
7.501500000000000000e+03 6.323050502742706414e-01
7.701500000000000000e+03 7.276619675068006776e-01
7.901500000000000000e+03 6.350719693376148944e-01
8.101500000000000000e+03 6.979782376286013390e-01
8.301500000000000000e+03 9.292341899173104380e-01
8.501500000000000000e+03 7.173042227709911511e-01
8.701500000000000000e+03 7.205898293135932775e-01
8.901500000000000000e+03 8.350063063593284873e-01
9.101500000000000000e+03 6.339341572875178965e-01
9.301500000000000000e+03 7.975895498469165457e-01
9.501500000000000000e+03 7.712863487798661266e-01
9.701500000000000000e+03 8.462927036188913066e-01
9.901500000000000000e+03 8.820409477137990395e-01
1.010150000000000000e+04 8.386643845939241171e-01
1.030150000000000000e+04 8.284827545969756235e-01
1.050150000000000000e+04 9.775334831343343023e-01
1.070150000000000000e+04 8.539912321168006137e-01
1.090150000000000000e+04 8.519115899304534612e-01
1.110150000000000000e+04 9.308272016581429220e-01
1.130150000000000000e+04 7.222974471802378060e-01
1.150150000000000000e+04 9.623257859186997720e-01
1.170150000000000000e+04 8.956874524121771763e-01
1.190150000000000000e+04 7.272484863789612231e-01
1.210150000000000000e+04 1.077046750761955884e+00
1.230150000000000000e+04 1.154028930025265076e+00
1.250150000000000000e+04 9.221013298316460549e-01
1.270150000000000000e+04 1.078446844730372778e+00
1.290150000000000000e+04 1.033950099927399613e+00
1.310150000000000000e+04 9.010537681585748526e-01
1.330150000000000000e+04 1.005295399397773348e+00
1.350150000000000000e+04 1.014228723618575190e+00
1.370150000000000000e+04 9.508642106410641892e-01
1.390150000000000000e+04 1.052347395407603914e+00
1.410150000000000000e+04 1.194630741463225787e+00
1.430150000000000000e+04 9.146404857171686054e-01
1.450150000000000000e+04 1.070796957678544326e+00
1.470150000000000000e+04 1.010939570629965756e+00
1.490150000000000000e+04 9.807095248526445097e-01
1.510150000000000000e+04 1.017212834279300093e+00
1.530150000000000000e+04 1.147834057238910965e+00
1.550150000000000000e+04 1.079278487726167191e+00
1.570150000000000000e+04 1.071114128516867492e+00
1.590150000000000000e+04 1.033115555644476435e+00
1.610150000000000000e+04 1.177227417001133425e+00
1.630150000000000000e+04 1.141687270695453504e+00
1.650150000000000000e+04 1.028591277381272207e+00
1.670150000000000000e+04 1.120511928731044993e+00
1.690150000000000000e+04 1.205228842309332915e+00
1.710150000000000000e+04 1.180300297423148459e+00
1.730150000000000000e+04 1.242087624739768748e+00
1.750150000000000000e+04 1.132492434042824625e+00
1.770150000000000000e+04 1.283901236899178677e+00
1.790150000000000000e+04 1.058552062754431144e+00
1.810150000000000000e+04 1.115272951551391500e+00
1.830150000000000000e+04 1.372981617885326910e+00
1.850150000000000000e+04 1.190889913816780998e+00
1.870150000000000000e+04 1.162993614176096147e+00
1.890150000000000000e+04 1.109225449722860635e+00
1.910150000000000000e+04 1.521906760520766788e+00
1.930150000000000000e+04 1.117309035895057034e+00
1.950150000000000000e+04 1.513718853941367737e+00
1.970150000000000000e+04 1.204574849666002923e+00
1.990150000000000000e+04 1.283079988272187499e+00
2.010150000000000000e+04 1.397705807621811624e+00
2.030150000000000000e+04 1.285663599894071085e+00
2.050150000000000000e+04 1.347471622937280511e+00
2.070150000000000000e+04 1.618787289386530048e+00
