# A_ksz HMCode_logT_AGN logA mnu n_ksz nnu ns ombh2 omch2 tau theta
1.420207841155035049e+07 -3.869481671244295430e+05 8.011716953178591095e+06 -1.023400030319389654e+06 1.660729260998164676e+07 -1.475630634645382641e+06 1.046449661862282082e+07 -7.080167676349671185e+07 8.445825696544852853e+07 -7.152297099308546633e+06 -2.290733479262080789e+07
-3.869481671244295430e+05 6.324306408064028801e+04 -3.534593916878809105e+05 5.238056294019358756e+04 -3.902736486249602749e+05 7.304947075925407989e+04 -4.701721722193079768e+05 3.612640840347400401e+06 -4.344693623782228678e+06 2.553092169019060093e+05 1.084368890784451738e+06
8.011716953178591095e+06 -3.534593916878809105e+05 1.433477089542754740e+07 -1.153231752389770700e+06 7.691071786951266229e+06 -2.454194866605839692e+06 1.733780025205170736e+07 1.247023633130435944e+08 8.894583261139199138e+07 -1.873500633952211961e+07 -5.384700632641092688e+07
-1.023400030319389654e+06 5.238056294019358756e+04 -1.153231752389770700e+06 1.787628717579839868e+05 -1.022235259713605396e+06 2.478802505974899104e+05 -1.493283550485628191e+06 1.033745986902728491e+07 -1.453082909743403830e+07 7.754071987951010233e+05 3.941464502083690837e+06
1.660729260998164676e+07 -3.902736486249602749e+05 7.691071786951266229e+06 -1.022235259713605396e+06 2.131883807432141155e+07 -1.404228000430249609e+06 1.019104430426685698e+07 -8.991862018164965510e+07 8.465392401645907760e+07 -6.498850294892682694e+06 -2.030105146339847147e+07
-1.475630634645382641e+06 7.304947075925407989e+04 -2.454194866605839692e+06 2.478802505974899104e+05 -1.404228000430249609e+06 4.872642287726886570e+05 -3.206587639184951782e+06 -2.155779574763034284e+07 -1.998600456877342612e+07 2.769127391883821227e+06 9.941230695725534111e+06
1.046449661862282082e+07 -4.701721722193079768e+05 1.733780025205170736e+07 -1.493283550485628191e+06 1.019104430426685698e+07 -3.206587639184951782e+06 2.253086690002683550e+07 1.781772349915768504e+08 1.188606542119436115e+08 -2.181230625741915405e+07 -6.996733357107143104e+07
-7.080167676349671185e+07 3.612640840347400401e+06 1.247023633130435944e+08 1.033745986902728491e+07 -8.991862018164965510e+07 -2.155779574763034284e+07 1.781772349915768504e+08 1.218370342058987617e+10 -9.554347235119142532e+08 -3.382944470289835930e+08 -9.501212458691483736e+08
8.445825696544852853e+07 -4.344693623782228678e+06 8.894583261139199138e+07 -1.453082909743403830e+07 8.465392401645907760e+07 -1.998600456877342612e+07 1.188606542119436115e+08 -9.554347235119142532e+08 1.211301297818947554e+09 -5.246376876820572466e+07 -2.692344305114995241e+08
-7.152297099308546633e+06 2.553092169019060093e+05 -1.873500633952211961e+07 7.754071987951010233e+05 -6.498850294892682694e+06 2.769127391883821227e+06 -2.181230625741915405e+07 -3.382944470289835930e+08 -5.246376876820572466e+07 3.081259535032457113e+07 7.536209424454827607e+07
-2.290733479262080789e+07 1.084368890784451738e+06 -5.384700632641092688e+07 3.941464502083690837e+06 -2.030105146339847147e+07 9.941230695725534111e+06 -6.996733357107143104e+07 -9.501212458691483736e+08 -2.692344305114995241e+08 7.536209424454827607e+07 6.063952921069630384e+08
