# A_ksz HMCode_logT_AGN logA mnu n_ksz nnu ns ombh2 omch2 tau theta
3.003905132358872890e+07 -6.691472310995459557e+05 1.371708892766003311e+07 -1.750949667553012026e+06 3.671182837192213535e+07 -2.460921671548535582e+06 1.782077764843635634e+07 -1.438416697113386989e+08 1.446705816349118650e+08 -1.222759923753284104e+07 -3.684902663956365734e+07
-6.691472310995459557e+05 7.363648667590893456e+04 -5.148948593942070729e+05 8.147173036227200646e+04 -7.296541099976265104e+05 1.080568459147507529e+05 -7.005015518307342427e+05 7.133746282056015916e+06 -6.803874219867696986e+06 3.271333196359760477e+05 1.474635959227707703e+06
1.371708892766003311e+07 -5.148948593942070729e+05 1.622278432750697993e+07 -1.575223610973203788e+06 1.443650384420394152e+07 -2.825714785649766680e+06 2.000452524096332863e+07 2.441978538375764713e+07 1.255654264212452471e+08 -1.887006867823408172e+07 -5.439481709758543968e+07
-1.750949667553012026e+06 8.147173036227200646e+04 -1.575223610973203788e+06 2.619473829509583011e+05 -1.903145437241907930e+06 3.424517168190276134e+05 -2.101507441784918774e+06 2.186946385819982737e+07 -2.159096001105031744e+07 9.022002880479660816e+05 4.858835106683626771e+06
3.671182837192213535e+07 -7.296541099976265104e+05 1.443650384420394152e+07 -1.903145437241907930e+06 4.870402452602131665e+07 -2.583990315212741494e+06 1.907259844800667837e+07 -1.793071404754909277e+08 1.575945853983679116e+08 -1.230453674659955502e+07 -3.667922561238153279e+07
-2.460921671548535582e+06 1.080568459147507529e+05 -2.825714785649766680e+06 3.424517168190276134e+05 -2.583990315212741494e+06 5.700678805387838511e+05 -3.765215558661903255e+06 2.209574800951872312e+05 -2.822374047717071697e+07 2.697672001854549162e+06 1.003159803826074488e+07
1.782077764843635634e+07 -7.005015518307342427e+05 2.000452524096332863e+07 -2.101507441784918774e+06 1.907259844800667837e+07 -3.765215558661903255e+06 2.646165875166853890e+07 4.256261804647632688e+07 1.717373364498257339e+08 -2.190207281822282076e+07 -7.150720780219972134e+07
-1.438416697113386989e+08 7.133746282056015916e+06 2.441978538375764713e+07 2.186946385819982737e+07 -1.793071404754909277e+08 2.209574800951872312e+05 4.256261804647632688e+07 1.096021359911246490e+10 -1.866554869283377647e+09 -2.374946710235435367e+08 -4.939941193380143046e+08
1.446705816349118650e+08 -6.803874219867696986e+06 1.255654264212452471e+08 -2.159096001105031744e+07 1.575945853983679116e+08 -2.822374047717071697e+07 1.717373364498257339e+08 -1.866554869283377647e+09 1.809777850924367905e+09 -6.483087063257713616e+07 -3.539211134904977679e+08
-1.222759923753284104e+07 3.271333196359760477e+05 -1.887006867823408172e+07 9.022002880479660816e+05 -1.230453674659955502e+07 2.697672001854549162e+06 -2.190207281822282076e+07 -2.374946710235435367e+08 -6.483087063257713616e+07 2.998496903883301467e+07 6.861614721269096434e+07
-3.684902663956365734e+07 1.474635959227707703e+06 -5.439481709758543968e+07 4.858835106683626771e+06 -3.667922561238153279e+07 1.003159803826074488e+07 -7.150720780219972134e+07 -4.939941193380143046e+08 -3.539211134904977679e+08 6.861614721269096434e+07 5.876442266133377552e+08
